Eigenvectors retained: 7
Eigenvalues:  49.90  36.72  16.70   8.91   6.76   5.62   2.63
Explained %:  23.84  14.76  14.21  13.82  13.69  12.57   2.79
Total: 95.7 %

Rotated loadings:
               0.81  -0.08  -0.26   0.28  -0.09  -0.06   0.41
              -0.24   0.17   0.92  -0.02   0.24  -0.06  -0.03
               0.27  -0.19   0.02   0.91   0.07  -0.22   0.02
               0.94  -0.08  -0.13   0.12  -0.18  -0.14  -0.14
              -0.20  -0.14   0.29   0.09   0.89  -0.23  -0.01
              -0.10   0.94   0.17  -0.18  -0.13   0.15  -0.02
              -0.20   0.21  -0.05  -0.28  -0.24   0.88  -0.03
               0.82  -0.15  -0.22   0.29  -0.04  -0.09   0.39
              -0.20   0.21   0.91  -0.00   0.23  -0.12  -0.02
               0.21  -0.19   0.08   0.89   0.15  -0.26   0.01
               0.94  -0.10  -0.09   0.13  -0.16  -0.14  -0.15
              -0.23  -0.11   0.24   0.01   0.91  -0.21  -0.06
              -0.07   0.93   0.19  -0.19  -0.17   0.16   0.01
              -0.15   0.23  -0.02  -0.24  -0.29   0.87   0.02
               0.79  -0.00  -0.29   0.27  -0.15  -0.04   0.43
              -0.27   0.13   0.91  -0.04   0.24  -0.01  -0.04
               0.33  -0.19  -0.05   0.89  -0.02  -0.17   0.03
               0.94  -0.06  -0.16   0.11  -0.20  -0.13  -0.12
              -0.18  -0.16   0.33   0.16   0.85  -0.25   0.04
              -0.14   0.95   0.14  -0.16  -0.06   0.13  -0.06
              -0.24   0.18  -0.08  -0.31  -0.19   0.87  -0.09
               0.81  -0.17  -0.26   0.23   0.00  -0.14   0.37
              -0.26   0.12   0.92   0.04   0.22  -0.01  -0.06
               0.33  -0.20   0.00   0.86   0.08  -0.25  -0.04
               0.94  -0.08  -0.13   0.07  -0.12  -0.16  -0.13
              -0.22  -0.14   0.32   0.07   0.87  -0.22  -0.05
              -0.10   0.96   0.08  -0.14  -0.12   0.15   0.02
              -0.18   0.12  -0.11  -0.16  -0.24   0.92   0.06
               0.76   0.05  -0.23   0.34  -0.21   0.05   0.43
              -0.22   0.21   0.89  -0.09   0.26  -0.12  -0.01
               0.21  -0.17   0.03   0.93   0.05  -0.17   0.09
               0.91  -0.09  -0.12   0.17  -0.24  -0.11  -0.14
              -0.19  -0.14   0.25   0.11   0.90  -0.23   0.03
              -0.10   0.92   0.22  -0.20  -0.13   0.15  -0.04
              -0.21   0.28  -0.00  -0.37  -0.23   0.81  -0.11
               0.81  -0.10  -0.30   0.22  -0.05  -0.12   0.40
              -0.27   0.10   0.91   0.03   0.21   0.04  -0.06
               0.38  -0.20  -0.05   0.84   0.01  -0.21  -0.03
               0.94  -0.06  -0.16   0.06  -0.13  -0.16  -0.12
              -0.19  -0.16   0.36   0.14   0.84  -0.24  -0.00
              -0.13   0.96   0.07  -0.13  -0.06   0.13  -0.01
              -0.22   0.11  -0.13  -0.20  -0.19   0.91   0.00
               0.78  -0.03  -0.20   0.34  -0.16   0.03   0.42
              -0.17   0.26   0.87  -0.05   0.25  -0.17   0.01
               0.14  -0.17   0.10   0.90   0.14  -0.22   0.09
               0.91  -0.11  -0.09   0.18  -0.20  -0.12  -0.15
              -0.20  -0.11   0.20   0.03   0.92  -0.21  -0.02
              -0.06   0.90   0.24  -0.20  -0.17   0.16  -0.01
              -0.16   0.31   0.04  -0.33  -0.28   0.81  -0.05
               0.72   0.11  -0.26   0.32  -0.25   0.06   0.42
              -0.25   0.16   0.89  -0.11   0.26  -0.07  -0.03
               0.26  -0.18  -0.03   0.91  -0.04  -0.12   0.08
               0.90  -0.07  -0.15   0.16  -0.27  -0.11  -0.12
              -0.17  -0.17   0.29   0.18   0.86  -0.25   0.09
              -0.15   0.93   0.19  -0.18  -0.06   0.12  -0.09
              -0.24   0.24  -0.04  -0.39  -0.17   0.80  -0.16
               0.80  -0.23  -0.23   0.25   0.06  -0.16   0.34
              -0.23   0.14   0.91   0.04   0.22  -0.07  -0.05
               0.26  -0.20   0.05   0.85   0.15  -0.28  -0.06
               0.94  -0.10  -0.10   0.08  -0.11  -0.16  -0.15
              -0.26  -0.11   0.27  -0.00   0.88  -0.20  -0.09
              -0.07   0.95   0.08  -0.15  -0.16   0.17   0.05
              -0.13   0.12  -0.10  -0.12  -0.28   0.90   0.10
               0.79  -0.14  -0.19   0.34  -0.09  -0.00   0.38
              -0.13   0.27   0.85  -0.00   0.25  -0.22   0.02
               0.03  -0.17   0.15   0.85   0.24  -0.26   0.05
               0.91  -0.13  -0.06   0.18  -0.16  -0.13  -0.16
              -0.22  -0.08   0.16  -0.04   0.92  -0.19  -0.07
              -0.01   0.89   0.25  -0.19  -0.22   0.16   0.03
              -0.10   0.33   0.06  -0.29  -0.34   0.79   0.01
               0.80  -0.06  -0.34   0.20  -0.09  -0.10   0.41
              -0.27   0.07   0.88   0.06   0.20   0.08  -0.06
               0.42  -0.21  -0.07   0.80  -0.05  -0.19  -0.02
               0.93  -0.05  -0.19   0.05  -0.14  -0.16  -0.09
              -0.15  -0.18   0.41   0.20   0.80  -0.25   0.04
              -0.14   0.96   0.04  -0.11  -0.01   0.10  -0.02
              -0.25   0.09  -0.16  -0.22  -0.16   0.89  -0.03
               0.80  -0.24  -0.21   0.30   0.04  -0.11   0.33
              -0.16   0.20   0.88   0.04   0.24  -0.17  -0.02
               0.11  -0.19   0.13   0.85   0.24  -0.30  -0.02
               0.94  -0.13  -0.06   0.14  -0.12  -0.16  -0.17
              -0.26  -0.08   0.20  -0.06   0.90  -0.18  -0.10
              -0.01   0.92   0.19  -0.17  -0.23   0.16   0.06
              -0.08   0.23  -0.01  -0.19  -0.34   0.85   0.09
               0.77   0.03  -0.34   0.25  -0.18  -0.02   0.42
              -0.28   0.09   0.89  -0.02   0.23   0.03  -0.05
               0.36  -0.20  -0.07   0.85  -0.07  -0.15   0.02
               0.92  -0.05  -0.19   0.11  -0.22  -0.13  -0.10
              -0.15  -0.18   0.37   0.22   0.80  -0.25   0.09
              -0.14   0.95   0.10  -0.13  -0.01   0.10  -0.06
              -0.26   0.16  -0.11  -0.32  -0.14   0.85  -0.12
               0.80  -0.16  -0.27   0.16   0.02  -0.19   0.37
              -0.22   0.04   0.89   0.13   0.21   0.07  -0.07
               0.43  -0.21  -0.05   0.78   0.02  -0.24  -0.07
               0.93  -0.06  -0.16   0.01  -0.08  -0.18  -0.10
              -0.20  -0.16   0.40   0.12   0.82  -0.23  -0.05
              -0.14   0.95  -0.01  -0.13  -0.06   0.13   0.04
              -0.18   0.02  -0.18  -0.09  -0.20   0.91   0.08
               0.73   0.08  -0.11   0.36  -0.25   0.08   0.43
              -0.11   0.27   0.84  -0.02   0.28  -0.22   0.04
               0.10  -0.18   0.07   0.90   0.11  -0.16   0.15
               0.86  -0.13  -0.07   0.23  -0.24  -0.11  -0.11
              -0.18  -0.11   0.18   0.05   0.92  -0.22   0.00
